,Locality,Address,Price,Bed,Area,Bath,Half Bath,Lot Size
0,"Rock Springs, WY 82901",0 Gateway,"$725,000",,,,,
1,"Rock Springs, WY 82901",1003 Winchester Blvd.,"$452,900",4,,,,0.21 Acres
2,"Rock Springs, WY 82901",600 Talladega,"$396,900",5,"3,154",,,
3,"Rock Springs, WY 82901",3239 Spearhead Way,"$389,900",4,"3,076",,1,"Under 1/2 Acre, "
4,"Rock Springs, WY 82901",522 Emerald Street,"$254,000",3,"1,172",,,"Under 1/2 Acre, "
5,"Rock Springs, WY 82901",1302 Veteran's Drive,"$252,900",4,"1,932",,,0.27 Acres
6,"Rock Springs, WY 82901",1021 Cypress Cir,"$210,000",4,"1,676",,,"Under 1/2 Acre, "
7,"Rock Springs, WY 82901",913 Madison Dr,"$209,000",3,"1,344",,,"Under 1/2 Acre, "
8,"Rock Springs, WY 82901",1344 Teton Street,"$199,900",3,"1,920",,,"Under 1/2 Acre, "
9,"Rock Springs, WY 82901",4 Minnies Lane,"$196,900",3,"1,664",,,2.02 Acres
10,"Rocksprings, TX 78880",9339 Sd 26900,"$1,700,000",,"2,560",,,
11,"Rocksprings, TX 78880",RR674P13 Hwy 377,"$1,100,000",,"2,000",,,
12,"Rocksprings, TX 78880",0 Hwy 41,"$1,080,000",,,,,
13,"Rocksprings, TX 78880",9339 Sd 26900,"$908,350",,"2,560",,,
14,"Rocksprings, TX 78880",CR450 Hwy 377,"$905,000",,,,,
15,"Rocksprings, TX 78880",Cr 240 Cr 240,"$695,000",,"1,398",,,
16,"Rocksprings, TX 78880",RR674 Hwy 377,"$605,000",,"1,738",,,
17,"Rocksprings, TX 78880",9770a Sd 26900,"$559,805",,"1,080",,,
18,"Rocksprings, TX 78880",Lot17 CR 2630,"$504,000",,,,,
19,"Rocksprings, TX 78880","Tr12,16 CR 520","$410,000",,,,,
20,"Black Canyon City, AZ 85324",32575 S Shadow Mountain Road,"$299,900",3,"2,318",,,
21,"Black Canyon City, AZ 85324",32750 S Shangrila Drive,"$167,500",3,"2,120",,,
22,"Black Canyon City, AZ 85324",0000 Black Canyon Highway,"$150,000",,,,,5 Acres
23,"Black Canyon City, AZ 85324",34775 S CHOLLA Drive,"$129,500",3,"1,220",,,
24,"BLACK CANYON CITY, AZ 85324",33403 S. HA-WA-SI TERRACE,"$129,000",4,"2,000",,,
25,"Black Canyon City, AZ 85324",34263 S Bertha Street,"$80,000",5,"2,260",,,
26,"Black Canyon City, AZ 85324",33160 S Canyon Road,"$77,900",3,"1,248",,,
27,"Black Canyon City, AZ 85324",19421 E Todd Evans Road,"$70,500",3,"1,404",,,
28,"Black Canyon City, AZ 85324",18688 E AGUA Vista,"$70,000",,,,,0.7 Acres
29,"Black Canyon City, AZ 85324",50600 N Old Black Canyon Road,"$67,500",,,,,3 Acres
30,"Black Canyon City, AZ 85324",20101 E SQUAW VALLEY Road,"$54,900",,,,,
31,"Black Canyon City, AZ 85324",33259 S Canyon Road,"$45,600",3,"1,056",,,
32,"Black Canyon City, AZ 85324",34558 S ROADRUNNER RD,"$40,000",2,784,,,Under 1/2 Acre
33,"Black Canyon City, AZ 85324",19260 E Scenic Loop Road,"$30,000",,,,,2.35 Acres
34,"Black Canyon City, AZ 85324",19000 E MAREN Avenue,"$29,000",,,,,2.05 Acres
35,"Black Canyon City, AZ 85324",19350 E SAGUARO Drive,"$28,995",,,,,0.73 Acres
36,"Black Canyon City, AZ 85324",20650 E Amethyst Place,"$15,000",,,,,0.31 Acres
